rus,eng,translations,model_translation
я правда это ценю,i really appreciate this,i really appreciate that,i really understood appreciate
том её даже не читал,tom didn't even read it,tom did n't read it,tom didn't even notice it
я совершенно не знаю почему,i have absolutely no idea why,i do n't know why i 'm coming,i don't know the
том был очень счастливым,tom was very happy,tom was very happy,tom was very happy
ты слишком молод для женитьбы,you're too young to get married,you 're too old for you,you're too young
том - оптимист по натуре,tom is by nature an optimist,tom is a <unk> <unk>,tom is the nature
французы часто ошибаются,the french are often wrong,often often wear a <unk>,the bread often drunk drunk
приходи ровно в десять,come at ten o'clock sharp,come ten ten ten,come up ten ten ten
том умер три часа спустя,tom died three hours later,tom died three hours later,tom died three hours later
том болтал с мэри,tom chatted with mary,tom is flirting with mary,tom was with with mary
том потерял доверие коллег,tom lost his colleagues' trust,tom lost his <unk>,tom lost lost temper
никто не знает куда идти,nobody knows where to go,nobody knows where to go,nobody knows where where go
том сфотографировал собаку мэри,tom took a picture of mary's dog,tom <unk> mary 's dog,tom took a picture of a a
тебе надо отдохнуть,you have to rest,you have to rest,you have to rest
мои дяди живут в лондоне,my uncles live in london,my <unk> are in <unk>,my hands live in the
это ужасает,that's terrifying,that 's <unk>,this it
кто попросил тебя спеть,who asked you to sing,who asked you to sing,who asked you to sing
том всегда в сети,tom is always online,tom always wears <unk>,tom always always in
вы мне как отец,you're like a father to me,you 're my father 's father,are you my father father
какой у тебя телефон,what is your phone number,what 's your phone number,what's your your number
том знает своё дело,tom knows his business,tom knows his business,tom knows his matter
том взглянул на мэри,tom glanced at mary,tom glanced at mary,tom waited for mary mary
том обожает тебя,tom adores you,tom adores you,tom loves you
тома поймали,tom has been caught,tom was caught,tom was caught
это больно,does it hurt,is that a pain,this is
куда идёт этот парень,where is this guy going,where 's the cat,where is the next
сделайте перерыв,take a break,take a break,take a break
том сказал что этого недостаточно,tom said that wasn't enough,tom said that he was n't enough,tom said that wasn't was
ты её вообще читал,did you read it at all,did you read it at all,did you hear at at
все говорили по-французски,everybody spoke french,everyone spoke in french,everyone spoke french
думаешь я похож на тома,do you think i look like tom,do you think i 'm like tom,do you think tom look tom tom
мне нравится ваш кот,i like your cat,i like your cat,i like your cat
не хочешь зайти внутрь,don't you want to come inside,do n't you want to come inside,don't you want to be in
мы всегда хотим есть,we're always hungry,we always want to eat,we always want hungry
том всегда рано встаёт,tom always gets up early,tom always gets up early,tom always always early early early
я жду уже полчаса,i've been waiting the last half hour,i 'm waiting for an hour,i'm waiting waiting for for hour hour
я родилась в киото,i was born in kyoto,i was born in the <unk>,i was born in 730
надеюсь ты не страдаешь клаустрофобией,i hope you don't suffer from claustrophobia,i hope you do n't mind,i hope you you in pain
я пойду в 10,i will go at 10,i 'll go to the toilet,i'll go to the
что вы тому сделали,what did you do to tom,what did you do to tom,what did you do tom
том — успешный бизнесмен,tom is a successful businessman,tom is a <unk> <unk>,tom is a successful businessman
том пришёл домой в семь,tom got home at seven,tom came home at seven,tom came home at seven
она допустила много орфографических ошибок,she made a lot of spelling mistakes,she made a lot of mistakes,she made a lot of mistakes mistakes
том перенёс инсульт,tom has had a stroke,tom <unk> his fingers,tom was dishonest
том вернулся домой в австралию,tom has gone back home to australia,tom came back home in australia,tom has home to to australia
куда вы хотите сходить,where do you want to go,where do you want to go,where do you want to go
я частное лицо,i'm a private person,i face face,i'm face
том злой,tom is mean,tom is angry,tom's is
прежде всего будь терпелив,above all be patient,stay till a minute,you all be
ты какой-то сонный,you seem to be sleepy,you seem to be angry,you're seem like
я нёс три книги,i carried three books,i 've published three books,i carried an books
скажите тому что я занята,tell tom i'm busy,tell tom that i 'm busy,tell tom i'm busy
не пиши мне больше пожалуйста,please don't write to me again,please do n't ask me anymore,please don't me me me
ты был назначен мне судьбой,you were meant for me,you were meant to fool me,you you written me me
давай посмотрим ужастик,let's watch a horror movie,let 's go ahead of the <unk>,let's look them
мы их поймаем,we'll capture them,we 'll find them,we're they them
я готовлю рыбу на гриле,i am grilling fish,i 'm learning to fish on mondays,i making fish madman
как ты думаешь я красивый,do you think that i'm handsome,how do you think i 'm handsome,how do you think i'm handsome
думаю я просто устала,i think i'm just tired,i think i 'm just tired,i think i'm tired
ты тот кто ты есть,you are what you are,are you who you 're,is that person you you
наводнение сильно повредило посевные,the flood did a lot of harm to the crops,the <unk> <unk> the <unk>,many were to to to
куда том так торопится,where's tom going in such a hurry,where is tom so <unk>,where tom tom dressed so a
мы должны это закончить,we have to finish this,we have to finish this,we must to finish that
я была сильной,i was strong,i was negligent,i was strong
сколько машин участвовало в аварии,how many cars were involved in the accident,how many cars are in the box,how many are are the have
хочешь это сделать,do you want to do it,do you want to do that,do you want to do this
все ушли домой,everyone's gone home,everyone left home,everyone left home home
почему вы вчера отсутствовали,why were you absent yesterday,why did you come yesterday,why were you absent yesterday yesterday
ты ждёшь автобус,are you waiting for the bus,are you waiting for the bus,are you waiting for bus
том довольно глуп,tom is quite stupid,tom is quite stupid,tom is quite guy
положи это туда где нашёл,put it back where you found it,put it there where it was,put it what where you found
вы не видели мою жену,have you seen my wife,did n't you see my wife,you you see my wife
том никогда не поймёт,tom will never understand,tom never tried,tom will never going to understand
вы когда-нибудь смеётесь,do you ever laugh,are you ever listening,are you ever
что вы делаете,what're you doing,what are you doing,what're are doing doing
можешь передумать если хочешь,change your mind if you want to,you can use whatever you want,you can even if if you want
мы очень горды томом,we're extremely proud of tom,we 're very proud of tom,we're really happy tom
останьтесь с томом,stay with tom,contact tom,stay with tom
я упустил еще одну возможность,i lost another chance,i 'm concerned about them else,i missed another one
у тома есть щенок,tom has a puppy,tom has a <unk>,tom has a a
тому нравятся калейдоскопы,tom loves kaleidoscopes,tom likes blondes,tom likes like
ты нужен своей семье,your family needs you,you need your family,you you your family family
можешь открыть окно,you may open the window,you may open the window,can you open the window
что том делает в парке,what's tom doing in the park,what does tom do in the park,what's tom tom in in the
они убьют тома,they're going to kill tom,they hugged tom,they're going listening to
у меня совсем прав нет,don't i have any rights,i 'm not at all right,i have have bad
том носит парик,tom wears a wig,tom wears black clothes,tom wears a wig
все знают как его зовут,everybody knows his name,everybody knows his name,everybody knows how his name
ты одна,are you alone,are you alone,you're you
взгляните на эту фотографию пожалуйста,please take a look at that picture,please look at this picture,please you a of of the
я с радостью помогу ему,i'm willing to help him,i helped him,i'll agree help help
парад возглавлял военный оркестр,the parade was led by an army band,the <unk> <unk> the <unk>,the the is the
ты спокойна,are you relaxed,you 're irresponsible,are guys
они заставили меня прождать час,they kept me waiting for an hour,they made me leave the hour,they forced me to wait hour hour hour
я знаю это трудно принять,i know it's hard to accept,i know that a difficult job,i know this difficult to to a
пойдём пообедаем,let's go have lunch,let 's go sit down,let's go to lunch
я здесь никому не доверяю,i don't trust anyone here,i do n't trust anyone here,i don't trust anyone here
пора решать,it's time to decide,it 's time to decide,it's time to
я ужасно себя чувствую,i feel awful,i feel terrible,i feeling helpless
мы победили в конкурсе,we won the contest,we won the lottery,we won in contest
приятного путешествия,have a pleasant journey,the <unk> are <unk>,the
где твоя гостиница,where's your hotel,where 's your hotel,where's your the
дерево перегородило дорогу,the tree blocked the road,the tree caught the tree,the light is
яблоко хотите,do you want an apple,the apple is thirsty,the do wants want some
фома жестом показал маше сесть,tom motioned mary to sit down,tom gave mary to sit down,tom motioned mary to to
я искал работу,i looked for a job,i was looking for a job,i been for a work
том наверное ещё не лёг,tom is probably still up,tom probably has n't arrived yet,tom probably probably never to
давай встретимся полседьмого,let's meet at 630,let 's meet at 230,let's meet each six
я сказал что сделаю это,i said i'd do it,i said i 'd do that,i said you'd do it
я хотел чтобы ты пришла,i wanted you to come,i wanted you to come,i wanted you to come
том отказался извиняться,tom refused to apologize,tom refused to apologize,tom refused to apologize
мяч попал ей в глаз,the ball hit her in the eye,the ball looked at her,the ball protected her of
он почти всё время дома,he is almost always home,he almost always home,he is almost all at
я думал что узнал тебя,i thought i recognized you,i thought that i was recognized you,i thought i saw you
позови тома и марию вечером,call tom and mary this evening,call tom and mary called,call tom and and night evening
сегодня тёплый день,today is a warm day,today is a <unk> day,today is a day day
том сказал что хочет выиграть,tom said he wanted to win,tom said he wanted to win,tom said he wanted was win
тома уже допросила полиция,tom has already been questioned by the police,tom has already been warned by a police,tom has been by the
том обещал мне позвонить,tom promised to call me,tom promised to call me,tom promised to to call
я всё ещё не женат,i'm still not married,i 'm still single,i'm still single
весна не за горами,spring is around the corner,spring is n't over the corner,it isn't no the the
почему ты веришь тому,why do you believe tom,why do you believe tom,why do you believe tom
том сел на скамейку,tom sat down on the bench,tom sat on the couch,tom sat on on the bench
том в этом замешан,is tom in on this,tom is aware of this,tom is in about
у нас нет телевизора,we don't have a tv,we do n't have any sons,we have have a
ферштейн,got it,<unk> are <unk>,
том выращивает арабских скакунов,tom raises arabian horses,tom <unk> his fingers,tom is
никто нас не ищет,nobody's looking for us,nobody can wait for us,no is on of
какова цена,what's the price,what 's the price,what's the is
хочешь чего-нибудь,do you want anything,do you want something to do,do you want to
я решил продать свою машину,i've decided to sell my car,i decided to sell my car,i decided to sell his car
ты туда пойдёшь,will you go there,will you go there,will you go there
том часто навещает свою тётю,tom often visits his aunt,tom often comes from his daughter,tom often wear his aunt
у меня очень точные часы,my watch is very accurate,my watch is very small,i have a a watch
том боится что его поймают,tom is afraid of getting caught,tom is afraid he will get lost,tom is afraid to to caught
я не могу идти,i'm not able to walk,i ca n't go,i can't leave
он потерял все свои деньги,he lost all of his money,he lost his money,he lost all his money money
ты знаешь что это неправда,you know that that's a lie,you know that that 's true,you know it's that's true
не пугайся,don't be frightened,do n't be <unk>,don't
я приеду в районе девяти,i'm going to arrive around noon,i 'm <unk> in a <unk>,i'll arrive in the
том начал учить французский,tom has begun to learn french,tom started learning french,tom started studying studying french
тому нужно было лечение,tom needed treatment,tom needed a comment,tom needed to
ему не терпится тебя увидеть,he is impatient to see you,he ca n't see you again,he isn't to to see you
можете его взять,you can take it,can you take it,can you take it
вы студенты тома да,you're tom's students right,you 're tom 's students are n't you,you're tom's students aren't
это очень очень важно,this is very very important,it 's very important,it's very very very
насколько ты нетерпелив,how impatient are you,how long do you get,how deep is
том меня шантажирует,tom is blackmailing me,tom <unk> me,tom is me me
я была босиком,i was barefoot,i was negligent,i was petrified
тебе следовало бы прийти пораньше,you should have come earlier,you should come early,you should come come
я не боялся,i wasn't afraid,i was n't afraid,i wasn't afraid afraid
его лицо побледнело,his face turned pale,his face was <unk>,his face paled
похоже буря стихла,it appears the storm has calmed down,it looks like a storm is understandable,it looks to be be
он в опасности,he's in danger,he 's in danger,he's in danger danger
мы все были порядком измотаны,we were all rather exhausted,we were all the best,we were all rebels
надеюсь что я им понравлюсь,i hope they like me,i hope i 'm <unk>,i hope i them them
где будем сегодня завтракать,where will we eat breakfast today,where are the park today,where will we eat today today
я могу вас выручить,i can help you out,i can make you laugh,i can help you out
я читала,i was reading,i 'm done,i understood
скопируйте этот файл,copy this file,delete that file,this file is
кто находился в машине,who was in the car,who 's in the car,who was in the car
том съел весь торт один,tom ate the whole cake by himself,tom ate all his sandwich alone,tom ate the the of of
стойте здесь я вернусь,stay here i'll be back,wait for me i 'll be here,stand here i'll come back
том любит готовить,tom likes to cook,does tom like to cook,tom tom to cook
звучит логично,i suppose that makes sense,that sounds logical,it sounds logical
том вероятно пошёл другим путём,tom must've gone another way,tom probably heard his noise,tom probably started the the the
вы меня не знаете,you don't know me,do n't you know me,don't don't know know
пусть том посмотрит,let tom take a look at it,let tom decide,let tom
я думаю что возьму это,i think i'll take it,i think it 'll happen,i think what's going
красивая шляпа,that's a nice hat,the hat is beautiful,the a a hat
том перестал печатать,tom stopped typing,tom stopped <unk>,tom stopped dead
ты вообще собираешься мне рассказать,are you ever going to tell me,are you talking to me about,are you going to to me me
это не этично,that's unethical,it 's not a fake,this isn't ethical
что именно ты знаешь,what exactly do you know,what exactly do you know,what exactly do you know
кто заставил тома это сделать,who made tom do that,who forced tom to do that,who forced tom do that
французский язык сложный,french is complicated,french is difficult,french french is difficult
том очень скоро поправится,tom will get well very soon,tom will be very soon,tom is very be soon soon
этим не я занимаюсь,i'm not the one who does that,that 's not my fault,i doesn't the one who
я его уже видел,i've seen him before,i already saw it,i saw seen it
я не знаю как далеко,i don't know how far,i do n't know how to get away,i don't know how to come
том надевает ботинки,tom is putting his shoes on,tom <unk> his shoes,tom wears shoes shoes
я рис не заказывал,i didn't order rice,i 'm not sure i 'm <unk>,i eating no
том устал,tom was tired,tom is tired,tom is tired
я многому вас научу,i'll teach you many things,i 've learned you a lot,i'll teach a much much
мы к тебе обращаемся том,we're talking to you tom,we 're counting for you tom,we're you you you tom
мы не хотим есть,we're not hungry,we do n't want to eat,we don't want to eat
рановато ещё праздновать,it's a little early to celebrate,the <unk> is still warm,the little is still to warmer
суп вкусный,does the soup taste good,the soup is hungry,the the is delicious
рад знакомству,nice to meet you,i 'm happy to see,i'm
мы оба были счастливы,we were both happy,we were both happy,we were both happy
я слаба,i'm weak,i 'm <unk>,i'm weak
том не друг мэри,tom isn't mary's friend,tom is n't mary 's friend,tom isn't mary's friend
когда они тебе нужны,when do you need them,when do you need them,when do they need them
мама оставила мне сообщение,my mother left me a message,my mother called me a message,my mother me his a
можете мне тоже один купить,can you buy one for me as well,can you buy one too for me,can you have a too too too
она выглядит почти новенькой,it looks almost new,she looks almost drowned,she looks dead
это только моё личное мнение,that's only my personal opinion,that 's just personal my opinion,this is my personal opinion
это не так уж плохо,it isn't that bad,that 's not so bad,this isn't so bad
том заговорил с незнакомцем,tom started talking to a stranger,tom began to play with a <unk>,tom started talking with
я заплачу,i'm going to pay,i 'll pay,i'll pay
дай я ещё раз посмотрю,let me have another look,let me try again,let me again more
у меня ноги болят,my feet hurt,my feet are numb,my pulse feet
они кажутся напуганными,they seem scared,they <unk> the <unk>,they look scared
вы в доме,are you in the house,are you in the house,you're in a house
я тут немного занят,i'm a little busy here,i 'm a bit busy,i'm in little little here
в пруду есть утки,there are ducks on the pond,there 's a hole in the garage,there's is is in in
